job_title,date,company_name,location,url,summary
Data Engineer / Développeur BI BigData H/F,2023-03-23,Air France,Paris,https://fr.linkedin.com/jobs/view/data-engineer-d%C3%A9veloppeur-bi-bigdata-h-f-at-air-france-3569857856?refId=MW3eSGRbEDO%2BhHz6HtS6wg%3D%3D&trackingId=OZAjYImcxbuQE%2Fw4BtX52A%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"

          À propos de l’offre d’emploi
        

 
Description du poste Intitulé du poste 
Data Engineer / Développeur BI BigData H/F
 Métier 
Systèmes d'informations - Développement
 Catégorie socio-professionnelle 
Cadre
 Présentation du contexte 
Vous avez peut-être déjà voyagé avec nous, mais que connaissez-vous de nos métiers et de la richesse des données qu’ils génèrent au quotidien ? Comment le traitement et l’exploitation de ces données peut contribuer à notre stratégie de Revenue Management, ou encore aux multiples opérations à réaliser pour permettre à un vol de partir à l’heure ?
Air France-KLM fait rêver 104 millions de passagers par an, en les emmenant vers 250 destinations, grâce à une flotte de plus de 500 appareils. Le Groupe emploie 80 000 collaborateurs partout dans le monde : les opportunités sont vastes pour mettre à profit ses compétences, apprendre et se développer !
Le département de développement BI et Big Data d’Air France, au sein de la direction des Systèmes d’Information, intervient dans toute la chaîne de captation et de traitement des données du groupe pour délivrer à nos métiers des solutions applicatives clés en main.
Le département est également en charge de l’ensemble des outils techniques (ETL, DataLakes, DataWarehouses, Data visualisation) et du développement des talents et compétences de Data Engineering.
Notre mission ? Transformer la donnée brute en décision intelligente, pour mieux optimiser les métiers d’Air France – KLM !
Et pour ça, nous avons chacun notre rôle essentiel dans la tribu. Et pourquoi le vôtre ne serait pas celui de Data Engineer ?
Description De La Mission
Au sein de notre nouvelle « Data Factory », vous serez au cœur de la transformation Data de l’entreprise. Vous créerez, main dans la main les métiers, les solutions phares permettant à Air France-KLM de surfer sur la vague de la Data tout en essaimant vos compétences !
Mais pas seulement : vous participerez aussi aux activités de conseil stratégique et de veille technologique du département.
Nous attachons beaucoup d'importance au développement des compétences de nos collaborateurs ainsi qu’à leur offrir des conditions de travail favorables à l’autonomie et aux missions à forte valeur ajoutée. L'ouverture, le respect, la bienveillance et le partage sont des valeurs humaines portées par l'entreprise.
Au sein de la Data Factory, lieu unique d’innovation au sein du siège d’Air France à Roissy,
 Vous participez à l’analyse des besoins métiers du commercial, des opérations aériennes, de l’exploitation sol en aéroport, de la maintenance aéronautique ou encore du Cargo. Vous contribuez à la définition, au développement de PoCs, à l’industrialisation de projets en Business Intelligence, Data Visualisation ou Big Data Vous présentez la restitution de vos travaux et accompagnez les utilisateurs d’un point de vue fonctionnel ou méthodologique
Vous serez en contact étroit avec les directions métier du groupe Air France KLM.
 Profil recherché 
Vous êtes diplômé(e) de niveau Master ou Ingénieur, vous avez acquis une expérience professionnelle dans le développement d’applications.
Vous disposez d’une expérience du développement Frontend/Backend (Java, Unix/Linux)Vous maîtrisez les bases de données SQL
En Complément, Vous Avez Une Connaissance Ou Une Expérience Dans Tout Ou Partie Des Concepts Ou Outils Suivants
Outil de Datavisualisation (Spotfire, PowerBI, Qlik ou Kibana)UX / UI design ou ergonomieBase de données Teradata, noSQL (MongoDB)Environnement BigData (Hadoop, Elasticsearch, Spark ...)Solutions de Cloud hybride
(Ces compétences complémentaires ou manquantes pouvant aussi s'acquérir à travers un parcours de reskilling et de formations aux outils du data engineering dispensé en interne).
Vous avez participé à des projets organisés en Kanban ou Scrum, et avez peut-être même oeuvré comme Scrum-Master, ce qui vous permettra de vous intégrer aisément au sein d’une Product Team. Votre esprit de synthèse, votre force de conviction et votre maîtrise de la communication facilitent les décisions avec l’ensemble des collaborateurs de l’équipe, éventuellement en langue anglaise, à l’écrit comme à l’oral.
Vous êtes autonome, rigoureux, responsable et curieux, vous aimez travailler en équipe. Vous possédez de bonnes capacités d'écoute, d'analyse, de synthèse et de communication.
Et bien sûr, vous êtes sympathique, passionné, ambitieux, malin et brillant!
Ce Que Nous Vous Offrons
De la création de valeur pour l’ensemble des métiers d’Air France KLMDes challenges et problématiques complexes à résoudreL’opportunité de déployer des solutions Data industrielles à l’échelle !Une grande part de responsabilité dans une structure hiérarchique horizontaleUn important degré de liberté pour apprendre et développer son expertise au sein de l’équipeUne expérience unique de création et d’animation d’une Data Factory, véritable vitrine Data d’Air France
 Type de contrat 
CDI
 Date de prise de poste souhaitée 
11/07/2022
 Type d'horaires 
Administratif
Profil candidat Langue 
Anglais (3 - Confirmé)
Localisation du poste Localisation du poste 
France, Ile-de-France, Val d'Oise (95)
 Site 
45 rue de Paris 95747 ROISSY CHARLES DE GAULLE CEDEX
 
"
Data Engineer (H/F),2023-04-03,Withings,Issy-les-Moulineaux,https://fr.linkedin.com/jobs/view/data-engineer-h-f-at-withings-3590327082?refId=MW3eSGRbEDO%2BhHz6HtS6wg%3D%3D&trackingId=yuwNbWTToz4Cgu59gvXuZQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"

          À propos de l’offre d’emploi
        

 
                Chez Withings, nous souhaitons redonner aux individus le contrôle de leur santé.

Nous avons l’obsession de créer des produits beaux et intuitifs, afin que chacun puisse les utiliser facilement au quotidien; nos balances connectées, montres hybrides, tensiomètres, moniteurs de sommeil et tous les dispositifs de notre gamme sont aujourd’hui utilisés par des millions d’utilisateurs.

Notre objectif : permettre la prévention, le dépistage et l’accompagnement d’un certain nombre de maladies chroniques via des produits et des services innovants, afin de révolutionner la manière dont on prend soin de notre santé.

Au sein de Withings, l’équipe Data Analytics facilite le traitement et l’usage de gros volumes de données afin de permettre à toutes les équipes de Withings de prendre des décisions basées sur la réalité.

Dans ce cadre, tu auras les responsabilités suivantes:
Maintenance et administration de base de données (ClickHouse / PostgresSQL / ElasticSearch)Modélisation de données en SQL (SQL - dbt)Développement de connexions API (Python / Rust)Développement de pipelines de données complexes (Python - Dagster)Maintenance et administration de machines virtuelles (Unix)Soutien technique au reste de l’équipeFormer les équipes métiers aux bases de SQL

Requirements
Fortes compétences informatiques : SQL, Python, Linux, développement de connexions API…Appétence forte pour les challenges techniques : stack on-premise, outils open-source, contraintes physiques des serveurs, sécurité forte liée à l’utilisation de données de santé…Rigueur, autonomie, prise d'initiatives, curiosité... Maîtrise parfaite de la communication en français et en anglais, aussi bien à l’écrit qu’à l’oral

Benefits

Rejoindre l’aventure Withings, c’est :
Intégrer un des pionniers et leaders mondiaux de la santé connectée, plusieurs fois primé au Consumer Electronic ShowContribuer à des projets innovants et ambitieux pour la santé de demain dans un environnement agile et en constante évolutionIntégrer une entreprise internationale, membre de la FrenchTech 120, dont les équipes sont basées à Issy-les-Moulineaux, Boston, Hong-Kong et Shenzhen Participer à l’amélioration continue de nos produits et services en les bêta-testant avant leur sortie, notamment lors de nos nombreuses sessions sportives entre collèguesBénéficier de nombreux avantages : Stock Options, smartphone et ordinateur de votre choix, réductions pour des activités culturelles et sportives, restaurant d’entreprise, et bien plus encoreParticiper à la Withings Med Academy en assistant à des conférences de professionnels de santé afin de renforcer ses connaissances dans le domaine médicalCollaborer avec des collègues passionnés et célébrer ensemble chacune de nos réussites !

Toutes les candidatures reçues sont étudiées indépendamment de l’origine ethnique, des croyances, de la religion, du genre, de l’orientation sexuelle ou de la santé des candidats. Withings aspire à offrir et garantir l’égalité des chances aux candidats et seules les personnes habilitées (RH et Management) auront accès aux informations concernant votre candidature.
 
"
Data engineer,2023-04-03,Inventiv IT,Levallois-Perret,https://fr.linkedin.com/jobs/view/data-engineer-at-inventiv-it-3590341582?refId=MW3eSGRbEDO%2BhHz6HtS6wg%3D%3D&trackingId=%2Fzs5516%2FeL%2BSL60cXTLvTQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,"

          À propos de l’offre d’emploi
        

 
Et si vous découvriez une entreprise créée en 2008 autour de l'humain et l'envie d'accompagner différemment ses clients.

Vous recherchez une entreprise
Avec un fonctionnement horizontal ? Nos consultants ont des responsabilités au sein de nos 4 pôles centraux Entreprise Digital, DATA, CLOUD et FACTORY. Référencée au sein des grands comptes du CAC 40, et impliquée sur toutes les phases de projets passionnants ? 

Rejoignez Inventiv IT !

Vous êtes au cœur de nos priorités, nos actions en sont le reflet : des activités, un accompagnement par un Coach tout au long de votre carrière, une flexibilité d'horaires et du télétravail, qui apportent un équilibre de vie professionnelle et privée.

Vos missions :
Apporter une expertise en Big Data permettant la manipulation de donnéesConcevoir et conseiller les solutions permettant de traiter des volumes importants de donnéesMettre en place des bases de données et des pipelinesAssurer la sécurité des traitements et leurs bons fonctionnementDévelopper en équipe, savoir recetter des traitements, les mettre en production et les maintenirDocumenter son travail et savoir transférer son savoir

Répartitions des missions: 
30% d’expertise Big Data30% de conception de plateforme : conception, développement30% de mise en place : Mise en place des bases de données, mise en production, sécurisation et suivi des traitements10% de projet : Recette, point projet, documentation

Requirements

De formation Bac+5 (diplôme d’ingénieur ou équivalent universitaire), vous avez une expérience significative de 3 ans minimum sur un poste similaire.

Vos qualités :
Force de proposition tout en respectant les règles imposéesEsprit analytique et de synthèseEsprit d’équipe Sens de l’organisation

Benefits
Primes selon votre investissement pour Inventiv ITRemboursement intégral du Pass NavigoCarte repas Swile12 RTTForfait téléphone et internetSuivi RH de chaque consultant et vie de l’entrepriseEnvironnement de travail agréable et évolutif (espaces de co-working, réseau social d’entreprise, télétravail, coachs professionnels et sportifs…)
 
"
Data Scientist / Machine Learning Engineer H/F,2023-04-20,Air France,Paris,https://fr.linkedin.com/jobs/view/data-scientist-machine-learning-engineer-h-f-at-air-france-3574573415?refId=MW3eSGRbEDO%2BhHz6HtS6wg%3D%3D&trackingId=Jxiih9PmMMQLXp%2FposbhtA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"

          À propos de l’offre d’emploi
        

 
Description du poste Intitulé du poste 
Data Scientist / Machine Learning Engineer H/F
 Métier 
Systèmes d'informations - Développement
 Catégorie socio-professionnelle 
Cadre
 Présentation du contexte 
Vous avez peut-être déjà voyagé avec nous, mais que connaissez-vous de notre stratégie de pricing sur les billets d’avions, ou encore de la complexité des opérations à réaliser pour permettre à un vol de partir à l’heure ?
Chaque année, Air France-KLM fait rêver 85 millions de passagers en les emmenant vers 250 destinations, grâce à une flotte de plus de 500 appareils. Le Groupe emploie 75 000 collaborateurs partout dans le monde : les opportunités sont vastes pour mettre à profit ses compétences, apprendre et se développer !
Avec une longévité de plus de 65 ans, le département de Recherche Opérationnelle d’Air France maintient sa position de leader dans le domaine de la Recherche Opérationnelle et de la Data Science, en créant des outils de prédiction et d’optimisation à disposition de l’ensemble des métiers de la compagnie : personnels navigants, maintenance aéronautique, programme de vols, centre de contrôle des opérations, pricing et revenue management etc. Pour ces métiers, le département développe des outils permettant notamment de :
Prédire le retard des volsPrévoir le flux des passagers au sein du terminalOptimiser le prix des billets d’avionsDéterminer les meilleurs plannings du personnelAnticiper les pannes d’avions grâce à la maintenance prédictiveOptimiser le programme de vols
Description De La Mission
Notre mission ? Transformer la donnée brute en décision intelligente, pour mieux optimiser l'ensemble des métiers d’Air France – KLM !
Vous intégrerez une équipe aux profils variés constitués de data scientists et d’ingénieurs en optimisation, aux parcours académiques et aux compétences complémentaires. Ils travaillent main dans la main à l’élaboration des outils du futur. Vous évoluerez dans un environnement technique performant, et une équipe d’experts techniques sera là pour vous former et vous accompagner sur l’ensemble de vos projets.
Vos Missions
 Participer à l’analyse des besoins métiers Contribuer à la définition, au développement, à la mise en production et à la maintenance d’outils de machine learning Présenter vos travaux auprès des utilisateurs Organiser les retours d'expérience des solutions préconisées et mettre en œuvre l'amélioration continue des modèles utilisés
 Profil recherché 
Vos Compétences
Master ou Doctorat en Systèmes informatiques, Mathématiques appliquées, Recherche Opérationnelle, Data Science ou équivalentVous avez une bonne connaissance des techniques de machine learningVous maîtrisez PythonVous êtes autonome, rigoureux(se), responsable et curieux(se), et aimez travailler en équipeVous possédez de bonnes capacités d'analyse, de synthèse et de communicationVous parlez couramment Français et Anglais
Petit Plus
Vous avez de l’expérience avec les librairies scikit-learn, Tensorflow, SparkVous avez des notions de MLOps, CI/CD (Kubernetes, Docker, GCP, Airflow, REST API)
Et bien sûr, vous êtes passionné(e), ambitieux(se), et brillant(e) !
Ce Que Nous Vous Offrons
De la création de valeur pour l’ensemble des métiers d’Air France KLMDes challenges et problématiques complexes à résoudre et l’opportunité de déployer du machine learning industriel dans un environnement Cloud !Une grande part de responsabilité dans une structure hiérarchique horizontaleUn important degré de liberté pour apprendre et développer son expertise grâce aux formations internes de l’équipe Tech et Innovation.Une équipe dynamique, animée par la motivation et la bienveillanceTélétravail possible (2 à 3 jours par semaine)Des réductions sur les billets d’avions (à partir de 6 mois d’ancienneté)Vous intégrerez le cursus NextGen, qui permet de découvrir les différents services et métiers de l’entreprise (visite du centre de contrôle, des pistes d’aéroport, échanges avec le personnel navigant…) et participer à des événements qui vous permettent de tisser des liens avec les autres jeunes salariés de l’entreprise et développer votre réseau.
On vous attend le plus rapidement possible ! Et pour une durée indéterminée ;)
 Type de contrat 
CDI
 Type d'horaires 
Administratif
Profil candidat Niveau d'études min. requis 
Bac + 5 et plus / 3ème année grande école
 Niveau d'expérience min. requis 
Moins de 4 ans
Localisation du poste Localisation du poste 
France, Ile-de-France, Val d'Oise (95)
 Site 
45 rue de Paris 95747 ROISSY CHARLES DE GAULLE CEDEX
 
"
Senior Data Engineer,2023-05-04,Accor,Paris et périphérie,https://fr.linkedin.com/jobs/view/senior-data-engineer-at-accor-3593216027?refId=MW3eSGRbEDO%2BhHz6HtS6wg%3D%3D&trackingId=wo1T3mvHAwDsH8QFjCjmqQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"

          À propos de l’offre d’emploi
        

 
Bienvenue chez ACCOR, groupe hôtelier, leader dans le secteur de l’hospitalité.
Nous sommes un écosystème de 40 marques dans 110 pays, de talents et de solutions, prêts à s'engager dans les possibilités infinies de l'avenir. Accor vous propose une nouvelle façon de vivre, de travailler, de vous divertir et de développer votre activité professionnelle grâce à une expérience client personnalisée.Groupe engagé, nous veillons plus que jamais à évoluer dans le respect de notre patrimoine commun.Découvrez notre culture, nos valeurs et nos ambitions sur https://group.accor.com/

Un environnement unique
Envie d’être acteur des transformations digitales du groupe Accor, dans le monde ?Rejoignez la DIGITAL FACTORY, hub leader du concept d’hospitalité augmentée et véritable accélérateur d’innovation de solutions digitales différenciantes, tant pour nos +100 millions de clients que pour nos +5000 hôtels.Méthodes de travail agiles, proactivité et challenges technologiques rythment le quotidien de cette organisation composée de +600 talents (internes et externes) aux expertises product management, tech et data.

Un contexte motivant
Domaine : Data
En 2021, Accor a regroupé au sein de la ""Digital Factory"" ses différentes équipes Data sous la responsabilité unique d'un Chief Data Officer.Notre mission première est de fournir à l'ensemble de l'entreprise - des Hotels à la Direction, en passant par les différents Métiers - des produits Data et Analytics servant de multiples usages. Avec un fort redémarrage post-COVID, nous sommes en pleine modernisation (passage au Cloud massif) et transformation/mise à l’échelle - env. 150 pers aujourd’hui organisées en Tribu/Squad & Chapter inspiré du modèle Spotify - et accompagnons les équipes pour inscrire cette double culture ""Tech"" & ""Produit"" dans la durée.La richesse de cet écosystème, l'esprit d'innovation et le sens du ""service"" caractéristique à la culture hotellière d'Accor sont les forces qui nous motivent au quotidien.
Aperçu du poste :
Au sein du Data Engineering, nous recrutons des Data Engineer Senior pour renforcer les équipes en charge aussi bien des produits métiers que des briques & services fournis par notre plateforme ""Welcome Data"".Au quotidien, vous intégrez une Feature Team composée d'une dizaine de personnes maximum aux profils variés (PO, data analyst, scrum master, etc.), sous la supervision directe du ""Tech Lead"".
Missions et responsabilités :
Vous êtes l'acteur clé en charge des chaînes d'approvisionnement, de transformation et de mise en valeur des données, participant à la conception et modélisation des produits, assurant la conformité et la maintenabilité des solutions développées, et relevant les défis techniques liés à la volumétrie et à la qualité du patrimoine de données.Au quotidien, vos missions sont de :Concevoir, développer et déployer les solutions de gestion des données ""Cloud-Native""Assurer la conformité et la maintenabilité du code (TDD, commentaires, etc.)Détecter, analyser et résoudre les incidents ou anomalies survenant sur les produits de l'équipeContribuer aux chantiers transverses (usine logicielle-CI/CD, supervision, catalogue, etc.)Comprendre la finalité métiers des produits, et surtout la complexité fonctionnelle des données manipuléesAssurer la cohérence de la modélisation des données du patrimoine avec l'aide des Data ManagersAccompagner les profils Produit ou Data Science dans le cadrage des besoins de données métiers (disponibilité, qualité, etc.)Participer à l'animation de la communauté ""Data Tech"" (diffusion bonnes pratiques, capitalisation code, veille techno, etc.)Sensibiliser nos différents interlocuteurs aux enjeux et bénéfices 'data'

Qualifications
Diplômé(e) en informatique, analyse de données & Big Data, MIAGE, conseils aux entreprises, ou équivalent.Au moins 3 ans d’ancienneté en lien avec les domaines de la Data & Analytics.Compétences Data & Analytics requises :Modélisation & documentation des schémas de données (ERD, DataVault, Star-schema, etc.)Intégration & manipulation de données massives (SQL, Python, etc.)Mise en place de supervision de données (contrôle qualité, rejets, alertes)Connaissances des réglementations sur les données, notamment personnelles (ex : RGPD)Connaissances des architectures « Data » opérationnelles ou analytiquesUtilisation de la « Modern Data Stack » (Snowflake, dbt, Tableau, Airflow, etc.)DevOps sur AWS (configuration des services, terraformage, etc.)Compétences générales attendues :Connaissances et mise en œuvre des méthodologies Agile : Scrum & KanbanCulture & techniques DevOpsCollaboration et travail en équipeBonne communication orale et écriteAutonomie et proactivitéGestion des priorités, risques et alertesLa connaissance du monde de l’hôtellerie est un plus.Anglais opérationnel requis.Posté base à Issy-les-Moulineaux ou Evry avec 2 jours de présentiel par semaine (ajustable).
Mindset recherché :
Promoteur et engagé dans notre mode de fonctionnement « Factory » (modèle Spotify).Encourage la transparence, un climat de confiance : travail & revue entre pairs.Culture du feedback, droit à l’erreur.Être force de proposition, recherché l’amélioration continue.Curiosité (veille techno, etc.) et innovation

Pourquoi travailler chez Accor ?
Nous sommes bien plus qu’un leader mondial. Nous vous accueillons comme vous êtes et vous pouvez trouver le métier et la marque qui correspond à votre personnalité.Faites ce que vous aimez, prenez soin du monde qui vous entoure, oser challenger le status quo ! #BELIMITLESSDécouvrez la vie qui vous attend chez Accor, https://careers.accor.com/.
Quels avantages Accor offre à ses collaborateurs ?
Accor et plus particulièrement la DIGITAL FACTORY propose une expérience de travail unique à ses collaborateurs où l’excellence rime avec bienveillance :Télétravail étendu : présence sur site de minimum 4 jours /mois en fonction des rituels d'équipes. Prise en charge d’un forfait d’équipement et Indemnités journalières offertes.Amélioration continue : hackathons, partenariats technologiques d’exception, plateforme dédiée à la formation Digitech Academy & certifications, programme de formation pour l’ensemble de nos salariés à l’agilité, à la culture OKR, formations dédiées Product Management, AWS.
Les avantages collaborateurs Accor c’est aussi :Work Everywhere : accès personnel offert à plus de 500 espaces de Coworking dont beaucoup au sein de nos hôtels. Une opportunité également de partir à la rencontre de nos collaborateurs hôteliers !Programme ALL Heartists : avantages, séjours et expériences inoubliables dans toutes nos adresses Accor, dans le monde entier. Plus de 70 partenaires répartis selon différents univers (Voyages, Gourmet, Bien-être et Sport, etc.) pour satisfaire toutes vos envies.Forfait Mobilité douce : prise en charge des frais de transports personnels entre domicile et lieu de travail via le remboursement de 50% de l’abonnement transports ou via un forfait « mobilité durable » d’un plafond de 500€.Et sur notre site d’Issy les Moulineaux : café à volonté, restaurant d’entreprise avec des prestations gourmandes et de qualité, salle de sport, conciergerie d’entreprise.Un CSE qui vous accompagne dans le financement de vos activités : Culture, vacances, sport, Noël, événements familiaux…
Sans oublier, l’accompagnement tout au long de carrière au sein du Groupe :Learning & development : un Talent management au cœur de notre stratégie RH & un catalogue de formation d’excellence, ouvrant de nombreuses perspectives de mobilités intra filières et internationalesProgrammes de cooptation : des primes entre 1000€ et 1500€ bruts.
Nous sommes engagés pour la Diversité & l’Inclusion :« La diversité & l’Inclusion pour Accor, c’est accueillir chacun et chacune dans le respect de ses différences en donnant la priorité aux seules qualités et compétences.Notre ambition est de développer l’emploi, mieux accueillir, offrir d’excellentes conditions de travail et favoriser l’évolution de l’ensemble des collaborateurs et notamment des personnes en situation de handicap.N’hésitez pas à nous faire part de vos éventuels besoins spécifiques afin que nous puissions les prendre en considération. »
 
"
Internship - Data Engineer,2023-04-21,Numberly (1000mercis Group),Paris,https://fr.linkedin.com/jobs/view/internship-data-engineer-at-numberly-1000mercis-group-3575912414?refId=MW3eSGRbEDO%2BhHz6HtS6wg%3D%3D&trackingId=iNbijr1Hlc0%2Fov5JoWeV2g%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"

          À propos de l’offre d’emploi
        

 
Company Description
Numberly puts technology to work for brands and is at the heart of business growth and consumers' desire for more responsible and relevant marketing: we help our clients better understand their consumers by building systems to collect, analyse and activate data.
To do this, we are over 500 talents divided into autonomous teams.
We aspire to have everyone develop a positive influence, be proactive, and challenge our technical and organisational choices.
Job Description
As a Data Engineer you will:
Create and maintain pipeline jobs that transfer client data to/from our database diverse infrastructure (Hive, MongoDB, ScyllaDB). Nurture our large Hadoop cluster, optimize distributed Data Operations and Storage. Participate in decision making concerning efficient & ethical use of data and technological evolution at Numberly. Work alongside Data Scientists, DevOps, and many other talented techs. Suggest your own technological solutions and try them out (our latest successful POCs include Apache Kafka and ScyllaDB) . Join a great multicultural team filled with wonderful people Qualifications
You :
Like data in all its forms: raw, reworked, refined, calculated, analyzed, reused…Like work well done and pay attention to detailDream of being able to develop and manage website databases with strong trafficWant to work with various, prestigious clients on different problemsAre on the lookout for new languages/technologies and test the latest open source trends before others 
You love the following stack ? 
Hadoop ecosystem (HDFS, Hive, Impala, HBase, ...)Apache SparkETL (Apache Airflow or equivalent)SQL Databases (MySQL, SQLServer)NoSQL databases (MongoDB, ScyllaDB, ElasticSearch, ...)Apache KafkaPython, Java, ScalaGitLinux
Even better if you know :
Cloud Solutions (AWS, GCP, …)API REST, WebServicesDockerKubernetesApache DruidData Science and Machine Learning Message Queuing (RabbitMQ, Celery, …)
Additional Information
At Numberly, we share a passion for transmission: weekly internal talks, meetings with professionals who are experts in their field, and continuous learning. Fast and powerful onboarding, thanks in particular to : Vis ma vie in different teams; Happy Meetings: monthly internal meetings to get together with all our teams around the world and share the group's news. We cultivate the freedom of speech that allows everyone to participate in the group's development. We have a positive impact on our ecosystem through 1000mercis impacts and through our activities that create value in the Open Internet and contribute to the enrichment of Open Source. Numberly is a diversity player and Gender Equal by design: WeConnect International certification and a gender equity score of 97/100Numberly is an international environment with over 30 nationalities in our teams. Offices that reflect each team, a generous library, a large fully equipped music studio, two cats, waste separation and worm composting, the possibility of bringing your pet and space for bicycles! In each kitchen: coffee, tea, herbal teas and also mystery lunches, yoga classes, sports classes and parties (often fancy dress). Possibility to be remote up to 50% of your time (to be arranged as you wish) and to work up to 60 consecutive (working) days in remote. Swile card (meal vouchers). Mobility possible in our various international offices. Numberly welcomes people with disabilities.
 
"
Data engineer - F/H,2023-04-03,United Robotics Group,Paris,https://fr.linkedin.com/jobs/view/data-engineer-f-h-at-united-robotics-group-3590338765?refId=MW3eSGRbEDO%2BhHz6HtS6wg%3D%3D&trackingId=xrj4fww3BPg5ngYVh9x2bQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"

          À propos de l’offre d’emploi
        

 
                Aldebaran, anciennement connu sous le nom de SoftBank Robotics Europe, est le leader de la robotique humanoïde, fabricant des robots emblématiques NAO et Pepper.

Depuis sa création en 2005, nous sommes devenus le leader du marché des robots humanoïdes.

Plus de 40 000 robots sociaux et d'interaction - NAO et Pepper - sont utilisés dans plus de 70 pays, dans divers secteurs, allant du commerce de détail au tourisme, en passant par la santé et l'éducation.

Après avoir développé et commercialisé les robots humanoïdes NAO et Pepper, Aldebaran développe désormais une nouvelle génération de robots de services.

Ces développements mobilisent de nombreux métiers (électronique, mécanique, logiciel) au sein de la R&D.

En 2022, Aldebaran a uni ses forces à celles du groupe allemand United Robotics.

Aldebaran emploie actuellement près de 180 personnes dans ses bureaux de Paris, son siège social, et de Suzhou.

Au sein de l’équipe Cloud, le data engineer intégrera une équipe DATA responsable du développement des produits destiné au collecte, process et exploitation des données robot.

L’objet de ce rôle consiste à définir et à implémenter des services data, sur une infrastructure Cloud AWS, supportant des services en ligne qui gèrent les robots du groupe.

Le data engineer aura pour rôle de:
évaluer les choix d’architectures et de solution technique lors de mise en place de PoCconcevoir et développer des services Data en respectant la spécification fonctionnelle et la méthodologie agileagréger et stocker de grandes quantités de données, Mise en place de solutions pour le data processingintégrer/Développer des outils de visualisation de données et analyser les KPIdévelopper, tester, sélectionner et mettre en production des algorithmes qui permettent de répondre aux besoinsréaliser des analyses de donnéesla mise en place de tests de charge et fonctionnelles pour les solutions Datainvestiguer et corriger les bugs remontés par les utilisateurscontribuer à la mise en place de l’infrastructure et outil de déploiement (CI/CD)

Requirements

Pour la bonne exécution de ces fonctions, au moins 6 ans en tant que développeur sur des projets data en Cloud en Python et avec comme Cloud provider AWS.

Les compétences technique suivantes seront requises:
Une bonne compréhension des technologies d’infrastructure et de déploiement. Une

certification AWS sera appréciée.
Compétence technique sur les services AWS : IOT core , Glue, lambda, Kinesis, S3, RDSUne bonne compréhension technique dans la mise en place et l'automatisation de tests de charge et fonctionnels.Une bonne connaissance et une expérience pratique de Scrum\Scrumban et des méthodes agiles est nécessaire.Une bonne maîtrise du français et de l’anglais (lu, écrit, parlé) est indispensable.Des expériences dans des environnements fortement internationaux sont un plus.

Benefits

Nos principaux avantages :
Une culture du bien-être en entreprise qui a fait ses preuves (happy events, budget célébration et convivialité par équipes et directions, séminaires d'entreprise, restauration collective de qualité, environnement de travail agréable...)Un engagement fort en matière de responsabilité sociale (promotion de l'égalité professionnelle, création d'ERG, performance de notre plan diversité et inclusion, référent handicap)Une forte culture du télétravail encadrée de manière appropriée !

Tous nos postes sont ouverts aux personnes en situation de handicap.
 
"
Data Analytics Engineer,2023-04-13,Accor,Paris et périphérie,https://fr.linkedin.com/jobs/view/data-analytics-engineer-at-accor-3321671369?refId=MW3eSGRbEDO%2BhHz6HtS6wg%3D%3D&trackingId=TSod0fJGyMo6hQQI5mREiA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,
Data Engineer,2023-04-21,Numberly (1000mercis Group),Paris,https://fr.linkedin.com/jobs/view/data-engineer-at-numberly-1000mercis-group-3575913362?refId=MW3eSGRbEDO%2BhHz6HtS6wg%3D%3D&trackingId=T%2B6uTlw3S%2F%2FbzfgkoBMS%2Bg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,
Data Engineer / MLops-(H/F),2023-04-02,Société Générale Assurances,La Défense,https://fr.linkedin.com/jobs/view/data-engineer-mlops-h-f-at-soci%C3%A9t%C3%A9-g%C3%A9n%C3%A9rale-assurances-3589576991?refId=MW3eSGRbEDO%2BhHz6HtS6wg%3D%3D&trackingId=K2edFuKQYigGhX4FNrGm2g%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,
